"","Posted.On","BHK","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","rownum"
"234","2022-05-06",4,1600,"Ground out of 3","Super Area","Salt Lake City","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",17
"237","2022-06-04",2,839,"1 out of 3","Super Area","Howrah","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",18
"244","2022-05-23",1,550,"1 out of 2","Super Area","Naktala, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Agent",19
"252","2022-06-19",2,900,"1 out of 3","Super Area","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",20
"267","2022-05-27",3,1400,"Ground out of 2","Carpet Area","Salt Lake City Sector 2","Kolkata","Furnished","Bachelors/Family",2,"Contact Agent",21
"296","2022-05-14",3,800,"Ground out of 4","Super Area","Brahmapur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",22
"297","2022-05-09",2,800,"1 out of 2","Carpet Area","Santoshpur","Kolkata","Unfurnished","Family",2,"Contact Owner",23
"325","2022-06-10",2,700,"Ground out of 2","Carpet Area","Nungi More","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner",24
"326","2022-06-06",3,1200,"Ground out of 2","Carpet Area","Baishnabghata, Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Agent",25
"327","2022-05-23",2,800,"Ground out of 3","Carpet Area","Santoshpur - EM Bypass","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",26
"328","2022-06-16",1,300,"Ground out of 1","Carpet Area","Bansdroni","Kolkata","Furnished","Bachelors",1,"Contact Agent",27
"340","2022-06-01",1,500,"1 out of 2","Super Area","Baranagar","Kolkata","Unfurnished","Bachelors",2,"Contact Owner",28
"364","2022-06-21",2,700,"2 out of 3","Super Area","Gandhi Colony, Netaji Nagar","Kolkata","Unfurnished","Bachelors",2,"Contact Agent",29
"367","2022-06-24",2,288,"2 out of 3","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",30
"368","2022-06-11",2,900,"Ground out of 1","Super Area","Teghoria, Baguiati","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",31
"383","2022-06-26",2,957,"1 out of 2","Carpet Area","Dasnagar","Kolkata","Furnished","Bachelors",2,"Contact Owner",32
"388","2022-06-18",2,800,"Ground out of 2","Super Area","Thakurpukur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",33
"393","2022-05-23",2,750,"1 out of 2","Carpet Area","Ramchandrapur north","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner",34
"410","2022-04-24",2,1000,"Ground out of 1","Super Area","Anandapuri, Barrackpore","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",35
"413","2022-06-08",2,900,"Ground out of 3","Super Area","Baguiati","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",36
"418","2022-06-30",1,650,"Ground out of 2","Carpet Area","Garia Station, Garia","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner",37
"423","2022-05-18",1,500,"Ground out of 2","Super Area","Madurdaha, Hussainpur","Kolkata","Furnished","Bachelors/Family",1,"Contact Agent",38
"429","2022-06-03",2,450,"1 out of 1","Carpet Area","Bisharpara","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",39
"443","2022-06-26",1,200,"1 out of 3","Super Area","Jodhpur Park","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",40
"446","2022-05-14",2,1050,"Ground out of 1","Super Area","Baidyabati","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",41
"451","2022-06-20",1,350,"1 out of 1","Super Area","Behala","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",42
"460","2022-05-22",3,1200,"1 out of 2","Super Area","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner",43
"463","2022-05-30",3,120,"2 out of 5","Super Area","CA 150 sector 1 saltlake","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",44
"479","2022-06-03",2,1000,"Ground out of 2","Super Area","Jheel Road","Kolkata","Furnished","Bachelors/Family",2,"Contact Owner",45
"485","2022-05-08",1,300,"1 out of 3","Super Area","Noapara, Addarsha Pally","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",46
"491","2022-06-30",2,460,"Ground out of 2","Carpet Area","Majarhati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner",47
"495","2022-06-17",2,400,"2 out of 3","Super Area","Baishnabghata Patuli Township, Patuli","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner",48
"502","2022-06-10",2,900,"1 out of 2","Carpet Area","Bansdroni Mauza, Krishnanagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner",49
"526","2022-06-14",2,750,"4 out of 10","Carpet Area","Santacruz West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",50
"544","2022-07-04",5,2308,"17 out of 31","Carpet Area","Runwal Elegante, Andheri West","Mumbai","Furnished","Family",5,"Contact Agent",51
"556","2022-06-11",1,450,"6 out of 12","Carpet Area","Dheeraj Hill View Tower, Thakur Village, Kandivali East","Mumbai","Furnished","Bachelors/Family",1,"Contact Agent",52
"577","2022-06-15",1,540,"2 out of 4","Carpet Area","Vile Parle East","Mumbai","Semi-Furnished","Family",2,"Contact Agent",53
"578","2022-07-07",2,1050,"25 out of 42","Carpet Area","Lodha New Cuffe Parade, Wadala East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",54
"580","2022-06-25",4,1600,"53 out of 78","Carpet Area","Trump Tower, Worli","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent",55
"619","2022-07-04",3,1150,"10 out of 12","Carpet Area","Chembur East","Mumbai","Unfurnished","Family",3,"Contact Agent",56
"630","2022-05-28",2,900,"7 out of 15","Carpet Area","Oshiwara","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",57
"634","2022-07-06",3,950,"Upper Basement out of 9","Carpet Area","Tilak Nagar - Harbour Line","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",58
"638","2022-05-26",1,450,"4 out of 8","Carpet Area","Kalina","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",59
"642","2022-05-14",2,700,"5 out of 8","Carpet Area","MUKTA MAHEK, Thakur Complex","Mumbai","Unfurnished","Family",2,"Contact Agent",60
"659","2022-06-08",3,1095,"40 out of 75","Carpet Area","Lodha The Park, Worli","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",61
"667","2022-07-04",5,1880,"15 out of 31","Carpet Area","Runwal Elegante, Andheri West","Mumbai","Furnished","Family",5,"Contact Agent",62
"672","2022-05-14",3,1150,"17 out of 24","Carpet Area","Benzer Tower, Thakur Complex","Mumbai","Semi-Furnished","Family",3,"Contact Agent",63
"684","2022-06-16",1,270,"1 out of 4","Carpet Area","Mumbai Central","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Agent",64
"689","2022-06-20",2,1200,"6 out of 11","Super Area","Mount Mary","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",65
"711","2022-06-08",3,1600,"18 out of 23","Super Area","Chaitanya Towers, Prabhadevi","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Owner",66
"727","2022-06-20",4,2500,"12 out of 13","Carpet Area","Mount Marry, Bandra West","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent",67
"728","2022-06-23",3,2000,"6 out of 7","Carpet Area","Saraswati Sadan, Parel","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent",68
"756","2022-05-13",1,433,"8 out of 20","Carpet Area","Altavista, Sion Trombay Road","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",69
"795","2022-06-04",1,225,"18 out of 25","Super Area","Worli","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",70
"800","2022-05-27",2,1500,"15 out of 17","Super Area","Agripada","Mumbai","Furnished","Bachelors/Family",4,"Contact Owner",71
"805","2022-06-23",3,1325,"3 out of 28","Carpet Area","Challenger Tower, Thakur Village, Kandivali East","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent",72
"828","2022-05-18",4,3064,"18 out of 45","Carpet Area","Raheja Artesia, Worli","Mumbai","Semi-Furnished","Family",4,"Contact Agent",73
"834","2022-07-09",3,925,"16 out of 36","Carpet Area","Runwal Greens, Mulund West","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",74
"841","2022-07-07",2,935,"2 out of 4","Super Area","in Matunga West","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",75
"844","2022-05-14",2,700,"4 out of 6","Carpet Area","Andheri West","Mumbai","Furnished","Bachelors",3,"Contact Agent",76
"846","2022-07-09",2,750,"1 out of 7","Carpet Area","Santacruz East","Mumbai","Semi-Furnished","Bachelors",2,"Contact Agent",77
"858","2022-06-03",4,1705,"16 out of 29","Carpet Area","Adani Western Heights, Andheri West","Mumbai","Semi-Furnished","Family",3,"Contact Agent",78
"872","2022-07-09",3,1350,"1 out of 5","Carpet Area","Anand niwas","Mumbai","Furnished","Bachelors",3,"Contact Agent",79
"900","2022-07-06",2,985,"7 out of 15","Carpet Area","Chembur Heights, Sindhi Society Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",80
"910","2022-07-07",2,583,"10 out of 23","Carpet Area","Oasis, Akurli Nagar","Mumbai","Unfurnished","Family",2,"Contact Agent",81
"911","2022-06-16",2,475,"8 out of 12","Carpet Area","Goregaon West","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",82
"922","2022-07-09",3,2750,"53 out of 60","Carpet Area","Lodha World Crest, Lower Parel","Mumbai","Unfurnished","Bachelors/Family",3,"Contact Agent",83
"927","2022-05-27",2,750,"12 out of 16","Carpet Area","Cosmopolis Tower, Andheri West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",84
"945","2022-06-20",1,385,"3 out of 9","Carpet Area","Manibhadra Avenue, Morya Nagar","Mumbai","Unfurnished","Family",1,"Contact Agent",85
"953","2022-06-24",3,2000,"Upper Basement out of 30","Carpet Area","Flora Heights, Andheri West","Mumbai","Furnished","Family",3,"Contact Agent",86
"965","2022-06-16",2,650,"2 out of 7","Carpet Area","Kandivali West","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",87
"981","2022-07-02",2,600,"15 out of 20","Carpet Area","Tilak Nagar - Harbour Line","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",88
"990","2022-06-07",2,700,"4 out of 7","Carpet Area","Santacruz West","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent",89
"994","2022-05-14",2,750,"5 out of 18","Carpet Area","Chembur","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",90
"995","2022-05-31",4,1400,"10 out of 25","Carpet Area","Adani Western Heights, Andheri West","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",91
"1002","2022-06-01",4,5000,"4 out of 15","Carpet Area","Juhu","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent",92
"1056","2022-06-16",2,890,"45 out of 77","Carpet Area","Lodha The Park, Worli","Mumbai","Semi-Furnished","Family",2,"Contact Agent",93
"1058","2022-05-27",3,1300,"12 out of 24","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Family",3,"Contact Agent",94
"1073","2022-05-27",2,650,"15 out of 24","Carpet Area","L&T Emerald Isle, Powai","Mumbai","Semi-Furnished","Family",2,"Contact Agent",95
"1087","2022-07-09",4,2800,"50 out of 75","Carpet Area","Omkar 1973, Worli","Mumbai","Semi-Furnished","Bachelors/Family",4,"Contact Agent",96
"1111","2022-06-15",1,500,"8 out of 13","Carpet Area","Mayfair Sonata Greens, Park Site Colony","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",97
"1112","2022-05-24",1,550,"2 out of 4","Carpet Area","Mulund West","Mumbai","Unfurnished","Bachelors",1,"Contact Agent",98
"1118","2022-06-04",3,850,"6 out of 7","Carpet Area","Goregaon West","Mumbai","Unfurnished","Bachelors",3,"Contact Agent",99
"1132","2022-06-12",2,650,"8 out of 16","Carpet Area","Andheri West","Mumbai","Furnished","Bachelors",2,"Contact Agent",100
"1143","2022-05-13",3,1100,"16 out of 21","Carpet Area","Auris Serenity, Adarsh Nagar","Mumbai","Unfurnished","Bachelors/Family",4,"Contact Agent",101
"1151","2022-06-20",2,623,"6 out of 7","Carpet Area","Shreenath nagar, Morya Nagar","Mumbai","Unfurnished","Family",2,"Contact Agent",102
"1187","2022-04-27",2,882,"10 out of 22","Super Area","DB Ozone, Mira Road","Mumbai","Unfurnished","Bachelors",2,"Contact Owner",103
"1197","2022-06-04",2,1300,"Upper Basement out of 10","Carpet Area","Khar West","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",104
"1209","2022-06-16",3,1092,"60 out of 77","Carpet Area","Lodha The Park, Worli","Mumbai","Semi-Furnished","Family",3,"Contact Agent",105
"1213","2022-06-18",2,750,"6 out of 16","Carpet Area","lokhandwala residency, Worli","Mumbai","Furnished","Bachelors",2,"Contact Agent",106
"1224","2022-06-27",2,669,"15 out of 43","Carpet Area","Tulip at Runwal Forests, Kanjurmarg West","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",107
"1227","2022-05-22",2,725,"Upper Basement out of 16","Carpet Area","Chembur","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",108
"1256","2022-07-09",3,1500,"15 out of 20","Carpet Area","Purushottam Towers, Dadar West","Mumbai","Furnished","Bachelors/Family",4,"Contact Agent",109
"1266","2022-06-04",2,600,"4 out of 8","Carpet Area","Vasant Oscar, Mulund West","Mumbai","Furnished","Family",2,"Contact Agent",110
"1272","2022-06-20",1,480,"5 out of 7","Carpet Area","Seven Bungalows","Mumbai","Furnished","Family",2,"Contact Agent",111
"1289","2022-07-06",2,888,"5 out of 20","Carpet Area","Shapoorji Pallonji Vicinia, Chandivali","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",112
"1290","2022-05-31",1,490,"Ground out of 8","Super Area","Bhandup East","Mumbai","Unfurnished","Bachelors/Family",1,"Contact Owner",113
"1312","2022-06-26",1,560,"2 out of 4","Carpet Area","Ghatkopar East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",114
"1320","2022-05-31",5,3000,"8 out of 10","Carpet Area","Khar West","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent",115
"1332","2022-06-04",1,500,"7 out of 23","Super Area","Powai","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Owner",116
"1349","2022-06-28",2,800,"5 out of 20","Carpet Area","Kanakia Paris, Bandra Kurla Complex","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",117
"1381","2022-07-09",3,1200,"14 out of 35","Carpet Area","Worli","Mumbai","Semi-Furnished","Bachelors/Family",3,"Contact Agent",118
"1399","2022-06-02",1,225,"7 out of 7","Carpet Area","Ashok Van","Mumbai","Unfurnished","Family",1,"Contact Owner",119
"1400","2022-06-22",2,1000,"6 out of 10","Carpet Area","Malabar Hill","Mumbai","Furnished","Bachelors/Family",2,"Contact Agent",120
"1402","2022-06-25",3,1200,"8 out of 14","Carpet Area","Khar West","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent",121
"1404","2022-05-17",3,920,"14 out of 21","Carpet Area","Safal Twins, Chembur","Mumbai","Unfurnished","Bachelors/Family",3,"Contact Agent",122
"1405","2022-05-26",2,630,"4 out of 22","Carpet Area","SK Imperial Heights, Mira Road East","Mumbai","Unfurnished","Family",2,"Contact Agent",123
"1407","2022-06-04",1,450,"1 out of 5","Super Area","Andheri West","Mumbai","Furnished","Bachelors/Family",1,"Contact Owner",124
"1414","2022-06-27",3,1100,"6 out of 13","Carpet Area","Kurla","Mumbai","Furnished","Bachelors/Family",3,"Contact Agent",125
"1421","2022-05-27",2,800,"19 out of 20","Carpet Area","Sethia Grandeur, Bandra East","Mumbai","Semi-Furnished","Bachelors",3,"Contact Agent",126
"1427","2022-07-06",2,660,"Ground out of 6","Carpet Area","Azad Nagar Colaba","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",127
"1431","2022-05-31",2,650,"5 out of 7","Carpet Area","117 Residency, Chembur East","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Agent",128
"1432","2022-07-09",4,2080,"34 out of 46","Carpet Area","Indiabulls Blu, Worli","Mumbai","Semi-Furnished","Bachelors/Family",5,"Contact Agent",129
"1447","2022-05-25",3,868,"9 out of 21","Carpet Area","Orchid Suburbia, Bander Pakhadi","Mumbai","Unfurnished","Family",3,"Contact Agent",130
"1449","2022-04-28",1,540,"2 out of 3","Super Area","in Mahim West","Mumbai","Unfurnished","Bachelors/Family",2,"Contact Owner",131
"1479","2022-06-17",1,550,"6 out of 10","Carpet Area","Sion East","Mumbai","Unfurnished","Bachelors",2,"Contact Agent",132
"1492","2022-06-09",2,960,"16 out of 38","Carpet Area","Dosti Ambrosia, Wadala East","Mumbai","Semi-Furnished","Bachelors/Family",2,"Contact Agent",133
"1498","2022-06-23",2,800,"3 out of 4","Super Area","Nagappa Reddy layout-Dooravani Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",134
"1512","2022-05-09",2,700,"1 out of 4","Super Area","Vinayakanagar, Hebbal","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",135
"1515","2022-06-02",1,600,"2 out of 4","Super Area","C V Raman Nagar","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent",136
"1526","2022-06-20",1,450,"Ground out of 3","Super Area","Nelamangala","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",137
"1527","2022-06-27",2,800,"3 out of 4","Super Area","Yelahanka New Town","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",138
"1540","2022-06-08",1,600,"3 out of 4","Super Area","Btm Layout Stage 4","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",139
"1541","2022-05-04",2,800,"2 out of 3","Super Area","Konanakunte","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",140
"1545","2022-07-06",1,500,"1 out of 4","Carpet Area","Koramangala Block 4","Bangalore","Semi-Furnished","Bachelors",1,"Contact Agent",141
"1549","2022-06-20",2,1200,"3 out of 4","Super Area","Kalasipalyam, Kalasipalyam","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",142
"1570","2022-07-04",2,1105,"1 out of 4","Super Area","Electronics City Phase 1, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",143
"1571","2022-07-04",3,1430,"3 out of 4","Super Area","Subramanyapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",144
"1572","2022-06-20",2,850,"2 out of 4","Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",145
"1574","2022-05-23",2,1200,"Ground out of 2","Super Area","Kempapura Agrahara","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",146
"1592","2022-06-12",2,1130,"Ground out of 4","Super Area","whitefield","Bangalore","Unfurnished","Family",2,"Contact Owner",147
"1596","2022-05-10",1,600,"Ground out of 3","Super Area","Rajajinagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",148
"1612","2022-06-23",2,700,"1 out of 2","Super Area","Ragavendra Industrial Estate","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",149
"1674","2022-06-20",1,550,"2 out of 3","Carpet Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",150
"1682","2022-05-23",1,500,"2 out of 3","Super Area","Nagarabhavi","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",151
"1686","2022-05-20",2,900,"3 out of 5","Carpet Area","Kodi Halli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent",152
"1687","2022-05-20",2,1100,"2 out of 5","Carpet Area","Kodi Halli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent",153
"1689","2022-06-08",1,600,"2 out of 3","Super Area","Kadugodi","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",154
"1690","2022-05-31",2,1250,"1 out of 2","Carpet Area","Yeshwantpur","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",155
"1692","2022-06-04",3,1200,"1 out of 4","Super Area","Vidyaranyapura","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner",156
"1707","2022-05-11",2,1200,"Ground out of 1","Super Area","Dr.Shivaram Karanth Nagar, Jakkuru","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",157
"1726","2022-04-30",3,1450,"Ground out of 4","Super Area","Bannerghatta Main Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",158
"1754","2022-07-02",2,1100,"Ground out of 2","Carpet Area","Vidyaranyapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",159
"1760","2022-05-24",1,600,"2 out of 2","Super Area","Meenakshi Layout Hosa Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",160
"1762","2022-06-20",1,300,"Ground out of 4","Super Area","Kattigenahalli, Bellary Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",161
"1764","2022-06-04",2,1200,"Ground out of 3","Super Area","Vijayanagar","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",162
"1821","2022-06-23",1,450,"1 out of 4","Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent",163
"1826","2022-06-27",2,1080,"3 out of 5","Super Area","Hosakerehalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",164
"1830","2022-07-01",3,2110,"3 out of 4","Carpet Area","Richmond Town, Richmond Town","Bangalore","Unfurnished","Bachelors",3,"Contact Agent",165
"1835","2022-06-08",1,600,"2 out of 4","Super Area","Kudlu","Bangalore","Semi-Furnished","Family",1,"Contact Owner",166
"1859","2022-06-13",2,1281,"1 out of 5","Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",167
"1871","2022-05-20",2,1200,"1 out of 2","Super Area","Bhel Layout, Rajarajeshwari Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",168
"1883","2022-05-27",3,2200,"2 out of 4","Carpet Area","Hsr Layout Sector 6, HSR Layout","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",169
"1884","2022-07-07",2,1005,"2 out of 5","Carpet Area","Indira Nagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",170
"1903","2022-06-16",2,900,"2 out of 4","Super Area","Shivananda Nagar, Vijayanagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",171
"1912","2022-06-29",1,600,"Ground out of 3","Super Area","Maruthi Extesnion, Rajajinagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",172
"1922","2022-06-20",2,1200,"Ground out of 3","Super Area","A Narayanapura, Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",173
"1929","2022-04-28",1,600,"3 out of 3","Super Area","Hongasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",174
"1958","2022-05-23",2,700,"2 out of 6","Super Area","Varthur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",175
"1959","2022-05-27",2,1110,"1 out of 2","Carpet Area","Subramanyapura","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",176
"1968","2022-07-05",3,1500,"1 out of 1","Super Area","Ulsoor Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",177
"2006","2022-07-04",2,800,"1 out of 4","Super Area","whitefield","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",178
"2010","2022-05-30",2,900,"1 out of 4","Super Area","Seetharampalya, Hoodi","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",179
"2017","2022-06-24",3,1600,"3 out of 4","Carpet Area","Vijaya Bank Colony -Bilekahalli, Bilekahalli","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",180
"2047","2022-06-04",1,900,"3 out of 4","Super Area","Vijayanagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",181
"2054","2022-05-19",1,300,"2 out of 4","Super Area","Ragavendra Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",182
"2058","2022-05-07",1,580,"Ground out of 1","Super Area","Kengeri","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",183
"2099","2022-05-21",2,750,"2 out of 3","Carpet Area","Venkateshappa Layout-Kammanahalli, Kammanahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",184
"2100","2022-07-02",3,2000,"1 out of 2","Carpet Area","Rbi Colony-Jayanagar, Jayanagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",185
"2112","2022-05-11",1,450,"2 out of 2","Super Area","Mathikere","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",186
"2116","2022-06-27",3,1768,"8 out of 13","Super Area","Yelahanka","Bangalore","Semi-Furnished","Family",3,"Contact Agent",187
"2117","2022-06-20",3,1600,"3 out of 5","Carpet Area","Hrbr Layout Block 2, Kalyan Nagar, Outer Ring Road","Bangalore","Semi-Furnished","Family",3,"Contact Agent",188
