"","Posted.On","BHK","Rent","Size","Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact"
"115","2022-04-28",3,15000,1600,"1 out of 3","Super Area","Garia","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"116","2022-05-15",2,14000,1000,"1 out of 3","Carpet Area","Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"117","2022-05-30",1,5000,20,"2 out of 3","Super Area","Dakshineswar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"118","2022-06-10",2,7000,400,"Ground out of 2","Carpet Area","chatana","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"119","2022-06-23",1,3900,200,"2 out of 2","Super Area","Shyam Bazar","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"120","2022-06-09",3,14000,840,"1 out of 4","Carpet Area","Mukundapur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"121","2022-06-19",1,6300,300,"1 out of 1","Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"122","2022-07-03",2,13000,550,"1 out of 2","Carpet Area","Salt Lake City Sector 5","Kolkata","Furnished","Bachelors/Family",2,"Contact Agent"
"123","2022-07-03",1,6800,300,"1 out of 2","Carpet Area","Salt Lake City Sector 5","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"124","2022-05-14",2,8000,800,"1 out of 1","Super Area","Behala Chowrasta","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"126","2022-04-25",2,18000,1300,"1 out of 1","Super Area","Santoshpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"127","2022-06-13",2,8000,650,"Ground out of 1","Super Area","Garia Station, Garia","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"128","2022-05-06",2,8000,490,"1 out of 1","Super Area","Entally","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"129","2022-06-08",1,4700,250,"2 out of 2","Super Area","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"130","2022-06-08",1,4700,250,"Ground out of 1","Super Area","Dash Drone, Rajarhat Newtown","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"131","2022-05-06",1,4500,450,"1 out of 2","Super Area","Rabindra Pally, Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"132","2022-06-30",1,6000,300,"Ground out of 1","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"133","2022-06-24",2,16000,750,"1 out of 3","Super Area","Rajdanga Gardens, Kasba","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"134","2022-07-01",1,4700,250,"1 out of 2","Super Area","Kaikhali","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"135","2022-06-17",2,14000,751,"3 out of 3","Carpet Area","Baghajatin","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"136","2022-06-26",2,9000,900,"Ground out of 2","Carpet Area","Lake Town","Kolkata","Semi-Furnished","Bachelors",1,"Contact Owner"
"137","2022-06-23",2,5000,400,"1 out of 3","Carpet Area","Keshtopur","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"138","2022-06-13",2,17500,1000,"Ground out of 2","Carpet Area","Salt Lake City","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Agent"
"139","2022-06-11",2,8500,1000,"Ground out of 1","Carpet Area","South Baksara","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"140","2022-05-26",3,15000,1500,"1 out of 1","Carpet Area","Chandannagar, Hooghly-Chinsurah","Kolkata","Semi-Furnished","Family",2,"Contact Owner"
"141","2022-04-25",2,12500,750,"1 out of 3","Carpet Area","Sukhpally, Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"142","2022-05-11",1,13000,1200,"2 out of 4","Super Area","Kasba","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"143","2022-05-06",2,8000,700,"Ground out of 1","Super Area","Sakher Bazar, Purba Barisha","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"144","2022-05-10",2,8000,700,"4 out of 4","Carpet Area","Garia Dhalua Nabapally","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"145","2022-05-21",2,8000,1000,"Ground out of 2","Super Area","Chinar Park, Rajarhat","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"146","2022-06-12",2,7000,1200,"1 out of 3","Super Area","Konnagar","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"148","2022-06-25",2,8000,800,"Ground out of 4","Carpet Area","Vip Road","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"149","2022-06-11",2,5500,280,"1 out of 3","Super Area","New Barrakpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"150","2022-07-04",3,20000,1100,"Ground out of 2","Super Area","Thakurpukur, Kolkata","Kolkata","Unfurnished","Bachelors/Family",3,"Contact Owner"
"151","2022-05-10",2,7000,950,"Ground out of 2","Super Area","Kaikhali","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"152","2022-05-13",1,3500,250,"1 out of 2","Super Area","Phool Bagan, Kankurgachi","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"153","2022-05-10",2,5000,1000,"Ground out of 2","Carpet Area","Hindmotor","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"154","2022-06-30",3,20000,1000,"Ground out of 2","Carpet Area","Salt Lake City Sector 1","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"155","2022-05-27",2,7000,650,"Ground out of 2","Super Area","Howrah","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"156","2022-06-08",2,10000,700,"1 out of 2","Super Area","Benia Pukur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"157","2022-05-15",2,7000,700,"Ground out of 3","Carpet Area","Baguiati","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"158","2022-06-29",3,12000,1000,"Ground out of 3","Super Area","E M Bypass","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"159","2022-05-13",2,14500,900,"1 out of 4","Carpet Area","Panchanan Tola, Thakurpukur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"160","2022-05-25",1,6000,700,"1 out of 2","Super Area","VIP Nagar, E M Bypass","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"161","2022-07-04",2,9500,700,"1 out of 2","Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"162","2022-06-27",2,10000,450,"2 out of 1","Carpet Area","Behala","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"163","2022-05-06",1,3500,120,"Ground out of 3","Super Area","Dum Dum Cantonment","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"164","2022-06-01",2,9000,800,"1 out of 2","Super Area","New Garia, Garia","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"165","2022-06-07",3,40000,1220,"2 out of 3","Carpet Area","Salt Lake City Sector 3","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"166","2022-06-23",3,16500,1100,"Ground out of 3","Super Area","Mominpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"167","2022-06-12",3,8000,700,"Ground out of 3","Carpet Area","Halisahar Station Road, Kanchrapara","Kolkata","Unfurnished","Family",2,"Contact Owner"
"168","2022-05-10",2,12000,800,"Ground out of 3","Super Area","Santoshpur","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"169","2022-06-27",2,6500,670,"2 out of 2","Super Area","Dunlop, Dakshineswar, Belgharia Expressway","Kolkata","Unfurnished","Family",1,"Contact Owner"
"171","2022-05-06",1,5000,190,"Ground out of 2","Super Area","Baguihati","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"172","2022-05-24",2,9000,700,"Ground out of 2","Super Area","Kabardanga","Kolkata","Semi-Furnished","Bachelors/Family",1,"Contact Owner"
"173","2022-06-17",1,7000,240,"Ground out of 4","Carpet Area","Jadavpur","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"174","2022-05-19",2,18000,850,"2 out of 4","Carpet Area","Behala Chowrasta","Kolkata","Semi-Furnished","Family",1,"Contact Owner"
"175","2022-05-26",1,9000,950,"1 out of 2","Super Area","Haltu","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"176","2022-06-11",1,5500,450,"1 out of 2","Carpet Area","Botanical Garden Area","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"177","2022-06-08",2,7500,800,"Ground out of 2","Carpet Area","Bonhooghly","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"178","2022-07-02",2,4000,600,"1 out of 2","Carpet Area","Nilgung Old Bazar","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"179","2022-05-30",3,10500,800,"2 out of 2","Carpet Area","Teghoria, Baguiati","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"182","2022-05-13",1,50000,2200,"2 out of 5","Super Area","Kanchrapara","Kolkata","Furnished","Bachelors/Family",3,"Contact Owner"
"183","2022-06-08",2,12000,950,"1 out of 1","Carpet Area","Jote Shibrampur, Joth Shibrampur","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"184","2022-04-25",2,11000,550,"2 out of 3","Carpet Area","Ultadanga","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"185","2022-06-04",2,12000,1800,"1 out of 1","Carpet Area","Birati","Kolkata","Unfurnished","Bachelors",2,"Contact Owner"
"186","2022-05-11",2,8000,1000,"Ground out of 2","Super Area","Chinar Park, Rajarhat","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"187","2022-05-27",2,18000,600,"Ground out of 3","Super Area","Bagha Jatin Pally","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"188","2022-04-24",2,8000,750,"2 out of 4","Carpet Area","rishi aurobindo sarani neat NIOH hospital","Kolkata","Semi-Furnished","Bachelors/Family",2,"Contact Owner"
"189","2022-05-10",2,7000,685,"2 out of 3","Super Area","Dum Dum Metro","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Agent"
"190","2022-05-24",1,6500,44,"Ground out of 1","Carpet Area","Baranagar","Kolkata","Furnished","Bachelors/Family",1,"Contact Owner"
"191","2022-06-10",4,13000,1200,"Ground out of 2","Carpet Area","Tollygunge","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"192","2022-05-05",2,9000,500,"Ground out of 2","Carpet Area","Airport Near Gate No. 21/2","Kolkata","Unfurnished","Bachelors",1,"Contact Owner"
"193","2022-04-29",4,10000,1110,"2 out of 2","Carpet Area","Purbasa","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"194","2022-05-05",2,12000,1000,"1 out of 3","Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",2,"Contact Owner"
"195","2022-06-26",2,5000,392,"Ground out of 2","Super Area","Jadavpur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"196","2022-05-09",2,6000,700,"1 out of 2","Super Area","Barasat-Barrackpore Road","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"197","2022-05-19",1,5200,750,"2 out of 4","Super Area","Keshtopur","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
"198","2022-06-07",3,15000,1500,"1 out of 2","Super Area","Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road","Kolkata","Unfurnished","Family",2,"Contact Owner"
"200","2022-07-03",1,24000,710,"1 out of 1","Super Area","Salt Lake City Sector 1","Kolkata","Furnished","Bachelors",1,"Contact Agent"
"201","2022-05-26",1,5500,400,"Ground out of 3","Carpet Area","jadavpur central park east","Kolkata","Unfurnished","Bachelors/Family",1,"Contact Owner"
